Date,Dividends
2017-03-28,0.157
2016-09-16,0.16
2019-03-27,0.225
2014-09-19,0.141
2019-06-26,0.189
2015-03-26,0.145
2017-06-22,0.152
2015-12-24,0.181
2017-12-22,0.19
2017-09-21,0.179
2015-06-19,0.133
2019-09-13,0.191
2020-03-25,0.271
2015-09-18,0.153
2019-12-23,0.291
2018-03-21,0.178
2014-03-28,0.136
2016-03-16,0.145
2018-06-21,0.181
2018-09-27,0.202
2018-12-21,0.203
2014-12-26,0.167
2016-12-23,0.195
2016-06-16,0.149
2014-06-20,0.126
