Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,20.230000,20.230000,20.230000,20.230000,17.800293,0
2014-01-03,20.260000,20.260000,20.260000,20.260000,17.826694,0
2014-01-06,20.190001,20.190001,20.190001,20.190001,17.765099,0
2014-01-07,20.299999,20.299999,20.299999,20.299999,17.861887,0
2014-01-08,20.250000,20.250000,20.250000,20.250000,17.817892,0
2014-01-09,20.270000,20.270000,20.270000,20.270000,17.835493,0
2014-01-10,20.330000,20.330000,20.330000,20.330000,17.888281,0
2014-01-13,20.070000,20.070000,20.070000,20.070000,17.659512,0
2014-01-14,20.230000,20.230000,20.230000,20.230000,17.800293,0
2014-01-15,20.270000,20.270000,20.270000,20.270000,17.835493,0
2014-01-16,20.230000,20.230000,20.230000,20.230000,17.800293,0
2014-01-17,20.139999,20.139999,20.139999,20.139999,17.721102,0
2014-01-21,20.160000,20.160000,20.160000,20.160000,17.738701,0
2014-01-22,20.110001,20.110001,20.110001,20.110001,17.694700,0
2014-01-23,19.900000,19.900000,19.900000,19.900000,17.509924,0
2014-01-24,19.500000,19.500000,19.500000,19.500000,17.157970,0
2014-01-27,19.480000,19.480000,19.480000,19.480000,17.140368,0
2014-01-28,19.610001,19.610001,19.610001,19.610001,17.254757,0
2014-01-29,19.389999,19.389999,19.389999,19.389999,17.061182,0
2014-01-30,19.530001,19.530001,19.530001,19.530001,17.184366,0
2014-01-31,19.400000,19.400000,19.400000,19.400000,17.069981,0
2014-02-03,18.940001,18.940001,18.940001,18.940001,16.665232,0
2014-02-04,19.030001,19.030001,19.030001,19.030001,16.744413,0
2014-02-05,19.049999,19.049999,19.049999,19.049999,16.762014,0
2014-02-06,19.260000,19.260000,19.260000,19.260000,16.946795,0
2014-02-07,19.510000,19.510000,19.510000,19.510000,17.166765,0
2014-02-10,19.510000,19.510000,19.510000,19.510000,17.166765,0
2014-02-11,19.740000,19.740000,19.740000,19.740000,17.369144,0
2014-02-12,19.760000,19.760000,19.760000,19.760000,17.386744,0
