Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,27.389999,27.389999,27.389999,27.389999,23.905228,0
2014-01-03,27.400000,27.400000,27.400000,27.400000,23.913958,0
2014-01-06,27.360001,27.360001,27.360001,27.360001,23.879044,0
2014-01-07,27.480000,27.480000,27.480000,27.480000,23.983778,0
2014-01-08,27.469999,27.469999,27.469999,27.469999,23.975050,0
2014-01-09,27.490000,27.490000,27.490000,27.490000,23.992504,0
2014-01-10,27.590000,27.590000,27.590000,27.590000,24.079784,0
2014-01-13,27.400000,27.400000,27.400000,27.400000,23.913958,0
2014-01-14,27.559999,27.559999,27.559999,27.559999,24.053604,0
2014-01-15,27.639999,27.639999,27.639999,27.639999,24.123419,0
2014-01-16,27.650000,27.650000,27.650000,27.650000,24.132153,0
2014-01-17,27.590000,27.590000,27.590000,27.590000,24.079784,0
2014-01-21,27.650000,27.650000,27.650000,27.650000,24.132153,0
2014-01-22,27.660000,27.660000,27.660000,27.660000,24.140879,0
2014-01-23,27.549999,27.549999,27.549999,27.549999,24.044868,0
2014-01-24,27.209999,27.209999,27.209999,27.209999,23.748131,0
2014-01-27,27.090000,27.090000,27.090000,27.090000,23.643396,0
2014-01-28,27.219999,27.219999,27.219999,27.219999,23.756857,0
2014-01-29,27.080000,27.080000,27.080000,27.080000,23.634666,0
2014-01-30,27.260000,27.260000,27.260000,27.260000,23.791767,0
2014-01-31,27.180000,27.180000,27.180000,27.180000,23.721952,0
2014-02-03,26.830000,26.830000,26.830000,26.830000,23.416475,0
2014-02-04,26.930000,26.930000,26.930000,26.930000,23.503756,0
2014-02-05,26.879999,26.879999,26.879999,26.879999,23.460112,0
2014-02-06,27.059999,27.059999,27.059999,27.059999,23.617216,0
2014-02-07,27.290001,27.290001,27.290001,27.290001,23.817955,0
2014-02-10,27.330000,27.330000,27.330000,27.330000,23.852865,0
2014-02-11,27.480000,27.480000,27.480000,27.480000,23.983778,0
2014-02-12,27.480000,27.480000,27.480000,27.480000,23.983778,0
2014-02-13,27.620001,27.620001,27.620001,27.620001,24.105967,0
2014-02-14,27.690001,27.690001,27.690001,27.690001,24.167059,0
2014-02-18,27.750000,27.750000,27.750000,27.750000,24.219423,0
2014-02-19,27.629999,27.629999,27.629999,27.629999,24.114691,0
2014-02-20,27.730000,27.730000,27.730000,27.730000,24.201973,0
2014-02-21,27.719999,27.719999,27.719999,27.719999,24.193237,0
2014-02-24,27.830000,27.830000,27.830000,27.830000,24.289246,0
2014-02-25,27.840000,27.840000,27.840000,27.840000,24.297979,0
2014-02-26,27.870001,27.870001,27.870001,27.870001,24.324160,0
2014-02-27,27.969999,27.969999,27.969999,27.969999,24.411432,0
2014-02-28,28.000000,28.000000,28.000000,28.000000,24.437620,0
2014-03-03,27.910000,27.910000,27.910000,27.910000,24.359070,0
2014-03-04,28.139999,28.139999,28.139999,28.139999,24.559809,0
2014-03-05,28.139999,28.139999,28.139999,28.139999,24.559809,0
2014-03-06,28.139999,28.139999,28.139999,28.139999,24.559809,0
2014-03-07,28.120001,28.120001,28.120001,28.120001,24.542355,0
2014-03-10,28.110001,28.110001,28.110001,28.110001,24.533627,0
2014-03-11,28.010000,28.010000,28.010000,28.010000,24.446348,0
2014-03-12,28.049999,28.049999,28.049999,28.049999,24.481256,0
2014-03-13,27.889999,27.889999,27.889999,27.889999,24.341612,0
2014-03-14,27.860001,27.860001,27.860001,27.860001,24.315434,0
2014-03-17,27.980000,27.980000,27.980000,27.980000,24.420162,0
2014-03-18,28.139999,28.139999,28.139999,28.139999,24.559809,0
2014-03-19,27.980000,27.980000,27.980000,27.980000,24.420162,0
2014-03-20,28.059999,28.059999,28.059999,28.059999,24.489986,0
2014-03-21,28.030001,28.030001,28.030001,28.030001,24.463804,0
2014-03-24,27.930000,27.930000,27.930000,27.930000,24.376526,0
